Date,Open,High,Low,Close,Adj Close,Daily % Return,Deviation from mean,Event,,
10/22/1985,186.96,188.56,186.96,188.04,188.04,0.58%,0.5%,,,
10/23/1985,188.04,189.09,188.04,189.09,189.09,0.56%,0.5%,,,
10/24/1985,189.09,189.45,188.41,188.50,188.50,-0.31%,-0.3%,,,
10/25/1985,188.50,188.51,187.32,187.52,187.52,-0.52%,-0.6%,,,
10/28/1985,187.52,187.76,186.93,187.76,187.76,0.13%,0.1%,,,
10/29/1985,187.76,189.78,187.76,189.23,189.23,0.78%,0.7%,,,
10/30/1985,189.23,190.09,189.14,190.07,190.07,0.44%,0.4%,,,
10/31/1985,190.07,190.15,189.35,189.82,189.82,-0.13%,-0.2%,,,
11/1/1985,189.82,191.53,189.37,191.53,191.53,0.90%,0.9%,,,
11/4/1985,191.45,191.96,190.66,191.25,191.25,-0.15%,-0.2%,,,
11/5/1985,191.25,192.43,190.99,192.37,192.37,0.59%,0.6%,,,
11/6/1985,192.37,193.01,191.83,192.76,192.76,0.20%,0.2%,,,
11/7/1985,192.78,192.96,192.16,192.62,192.62,-0.07%,-0.1%,,,
11/8/1985,192.62,193.97,192.53,193.72,193.72,0.57%,0.5%,,,
11/11/1985,193.72,197.29,193.70,197.28,197.28,1.84%,1.8%,,,
11/12/1985,197.28,198.66,196.97,198.08,198.08,0.41%,0.4%,,,
11/13/1985,198.08,198.11,196.91,197.10,197.10,-0.49%,-0.5%,,,
11/14/1985,197.10,199.19,196.88,199.06,199.06,0.99%,1.0%,,,
11/15/1985,199.06,199.58,197.90,198.11,198.11,-0.48%,-0.5%,,,
11/18/1985,198.11,198.71,197.51,198.71,198.71,0.30%,0.3%,,,
11/19/1985,198.71,199.52,198.01,198.67,198.67,-0.02%,-0.1%,,,
11/20/1985,198.67,199.20,198.52,198.99,198.99,0.16%,0.1%,,,
11/21/1985,198.99,201.43,198.99,201.41,201.41,1.22%,1.2%,,,
11/22/1985,201.41,202.01,201.05,201.52,201.52,0.05%,0.0%,,,
11/25/1985,201.52,201.52,200.08,200.35,200.35,-0.58%,-0.6%,,,
